clu_id,TRT,PPVT_FallK,ETW_FallK,ETW_SpringK,RTW_SpringK,trt_e,clus_PPVT,clus_TRT,clus_trt_e,meanppvt,ppvtc1,ppvtc2,mean_trt_e,ctrt_e1,ctrt_e2
20,1,78,0,9,14,0.5,80,0.60000002,0.1,84.260506,-2,-4.2605057,0.016806724,0.40000001,0.08319328
20,1,75,0,4,10,0.5,80,0.60000002,0.1,84.260506,-5,-4.2605057,0.016806724,0.40000001,0.08319328
20,1,87,2,30,16,0.5,80,0.60000002,0.1,84.260506,7,-4.2605057,0.016806724,0.40000001,0.08319328
20,0,72,1,11,11,-0.5,80,0.60000002,0.1,84.260506,-8,-4.2605057,0.016806724,-0.60000002,0.08319328
21,0,72,0,2,3,-0.5,80.125,0.5,0,84.260506,-8.125,-4.1355057,0.016806724,-0.5,-0.016806724
21,1,84,0,8,11,0.5,80.125,0.5,0,84.260506,3.875,-4.1355057,0.016806724,0.5,-0.016806724
21,0,83,1,3,7,-0.5,80.125,0.5,0,84.260506,2.875,-4.1355057,0.016806724,-0.5,-0.016806724
21,1,88,6,13,15,0.5,80.125,0.5,0,84.260506,7.875,-4.1355057,0.016806724,0.5,-0.016806724
21,0,87,0,1,2,-0.5,80.125,0.5,0,84.260506,6.875,-4.1355057,0.016806724,-0.5,-0.016806724
21,1,73,0,4,7,0.5,80.125,0.5,0,84.260506,-7.125,-4.1355057,0.016806724,0.5,-0.016806724
21,0,79,0,0,4,-0.5,80.125,0.5,0,84.260506,-1.125,-4.1355057,0.016806724,-0.5,-0.016806724
21,1,75,0,17,13,0.5,80.125,0.5,0,84.260506,-5.125,-4.1355057,0.016806724,0.5,-0.016806724
22,1,82,0,10,12,0.5,79.75,0.5,0,84.260506,2.25,-4.5105057,0.016806724,0.5,-0.016806724
22,0,75,0,1,5,-0.5,79.75,0.5,0,84.260506,-4.75,-4.5105057,0.016806724,-0.5,-0.016806724
22,1,76,2,16,12,0.5,79.75,0.5,0,84.260506,-3.75,-4.5105057,0.016806724,0.5,-0.016806724
